posted_date,city,new_cases,new_tests,new_deaths
2020-07-26,Aliso Viejo,0,32,0
2020-07-27,Aliso Viejo,3,51,0
2020-07-28,Aliso Viejo,1,177,0
2020-07-29,Aliso Viejo,2,58,0
2020-07-30,Aliso Viejo,2,62,0
2020-07-31,Aliso Viejo,1,56,0
2020-08-01,Aliso Viejo,1,44,0
2020-08-02,Aliso Viejo,2,38,0
2020-08-03,Aliso Viejo,2,57,0
2020-08-04,Aliso Viejo,4,199,0
2020-08-05,Aliso Viejo,1,179,0
2020-08-06,Aliso Viejo,2,55,0
2020-08-07,Aliso Viejo,2,56,0
2020-08-08,Aliso Viejo,1,42,0
2020-08-09,Aliso Viejo,1,25,0
2020-08-10,Aliso Viejo,1,54,0
2020-08-11,Aliso Viejo,2,157,0
2020-08-12,Aliso Viejo,1,60,0
2020-08-13,Aliso Viejo,3,56,0
2020-08-14,Aliso Viejo,3,80,0
2020-08-15,Aliso Viejo,1,26,0
2020-08-16,Aliso Viejo,0,25,0
2020-08-17,Aliso Viejo,2,44,0
2020-08-18,Aliso Viejo,2,176,0
2020-08-19,Aliso Viejo,0,172,0
2020-08-20,Aliso Viejo,1,43,0
2020-08-21,Aliso Viejo,1,63,0
2020-08-22,Aliso Viejo,0,37,0
2020-08-23,Aliso Viejo,1,32,0
2020-08-24,Aliso Viejo,1,50,0
2020-08-25,Aliso Viejo,3,71,0
2020-08-26,Aliso Viejo,2,64,0
2020-08-27,Aliso Viejo,4,72,0
2020-08-28,Aliso Viejo,1,43,0
2020-08-29,Aliso Viejo,4,36,0
2020-08-30,Aliso Viejo,0,25,0
2020-08-31,Aliso Viejo,1,63,0
2020-09-01,Aliso Viejo,0,63,0
2020-09-02,Aliso Viejo,3,80,0
2020-09-03,Aliso Viejo,1,44,0
2020-09-04,Aliso Viejo,3,66,0
2020-09-05,Aliso Viejo,0,29,0
2020-09-06,Aliso Viejo,0,30,0
2020-09-07,Aliso Viejo,1,21,0
2020-09-08,Aliso Viejo,1,91,0
2020-09-09,Aliso Viejo,2,74,0
2020-09-10,Aliso Viejo,0,72,0
2020-09-11,Aliso Viejo,3,59,0
2020-09-12,Aliso Viejo,0,34,0
2020-09-13,Aliso Viejo,2,21,0
2020-09-14,Aliso Viejo,1,78,0
2020-09-15,Aliso Viejo,3,80,0
2020-09-16,Aliso Viejo,1,82,0
2020-09-17,Aliso Viejo,1,84,0
2020-09-18,Aliso Viejo,2,70,0
2020-09-19,Aliso Viejo,2,55,0
2020-09-20,Aliso Viejo,0,29,0
2020-09-21,Aliso Viejo,1,85,0
2020-09-22,Aliso Viejo,1,87,0
2020-09-23,Aliso Viejo,3,75,0
2020-09-24,Aliso Viejo,1,66,0
2020-09-25,Aliso Viejo,1,76,0
2020-09-26,Aliso Viejo,0,38,0
2020-09-27,Aliso Viejo,0,31,0
2020-09-28,Aliso Viejo,5,87,0
2020-09-29,Aliso Viejo,1,76,0
2020-09-30,Aliso Viejo,3,228,0
2020-10-01,Aliso Viejo,3,82,0
2020-10-02,Aliso Viejo,1,105,0
2020-10-03,Aliso Viejo,0,50,0
2020-10-04,Aliso Viejo,3,43,0
2020-10-05,Aliso Viejo,1,87,0
2020-10-06,Aliso Viejo,1,93,0
2020-10-07,Aliso Viejo,1,123,0
2020-10-08,Aliso Viejo,1,89,0
2020-10-09,Aliso Viejo,2,85,0
2020-10-10,Aliso Viejo,1,44,0
2020-10-11,Aliso Viejo,0,39,0
2020-10-12,Aliso Viejo,3,123,0
2020-10-13,Aliso Viejo,2,95,0
2020-10-14,Aliso Viejo,1,86,0
2020-10-15,Aliso Viejo,2,77,0
2020-10-16,Aliso Viejo,0,75,0
2020-10-17,Aliso Viejo,1,53,0
2020-10-18,Aliso Viejo,1,48,0
2020-10-19,Aliso Viejo,1,145,0
2020-10-20,Aliso Viejo,1,205,0
2020-10-21,Aliso Viejo,1,83,0
2020-10-22,Aliso Viejo,2,99,0
2020-10-23,Aliso Viejo,1,77,0
2020-10-24,Aliso Viejo,1,50,0
2020-10-25,Aliso Viejo,1,42,0
2020-10-26,Aliso Viejo,2,93,0
2020-10-27,Aliso Viejo,2,218,0
2020-10-28,Aliso Viejo,3,231,0
2020-10-29,Aliso Viejo,1,98,0
2020-10-30,Aliso Viejo,2,111,0
2020-10-31,Aliso Viejo,0,50,0
2020-11-01,Aliso Viejo,1,39,0
2020-11-02,Aliso Viejo,5,115,0
2020-11-03,Aliso Viejo,2,227,0
2020-11-04,Aliso Viejo,3,114,0
2020-11-05,Aliso Viejo,8,122,0
2020-11-06,Aliso Viejo,4,104,0
2020-11-07,Aliso Viejo,1,58,0
2020-11-08,Aliso Viejo,0,43,0
2020-11-09,Aliso Viejo,5,124,1
2020-11-10,Aliso Viejo,6,269,0
2020-11-11,Aliso Viejo,5,259,0
2020-11-12,Aliso Viejo,8,131,0
2020-11-13,Aliso Viejo,7,127,0
2020-11-14,Aliso Viejo,3,74,0
2020-11-15,Aliso Viejo,6,64,0
2020-11-16,Aliso Viejo,11,168,0
2020-11-17,Aliso Viejo,10,338,0
2020-11-18,Aliso Viejo,15,184,0
2020-11-19,Aliso Viejo,14,223,0
2020-11-20,Aliso Viejo,9,181,0
2020-11-21,Aliso Viejo,12,156,0
2020-11-22,Aliso Viejo,6,90,0
2020-11-23,Aliso Viejo,12,185,0
2020-11-24,Aliso Viejo,24,186,0
2020-11-25,Aliso Viejo,11,142,0
2020-11-26,Aliso Viejo,3,18,0
2020-11-27,Aliso Viejo,3,60,0
2020-11-28,Aliso Viejo,1,19,0
2020-11-29,Aliso Viejo,1,4,0
2020-01-07,Anaheim,0,4,0
2020-01-08,Anaheim,0,1,0
2020-02-07,Anaheim,3,5,0
2020-02-09,Anaheim,1,1,0
2020-02-21,Anaheim,0,1,0
2020-02-27,Anaheim,0,1,0
2020-02-29,Anaheim,0,1,0
2020-03-02,Anaheim,0,1,0
2020-03-03,Anaheim,0,2,0
2020-03-04,Anaheim,0,2,0
2020-03-06,Anaheim,0,4,0
2020-03-07,Anaheim,3,25,0
2020-03-08,Anaheim,0,1,0
2020-03-09,Anaheim,0,2,0
2020-03-10,Anaheim,0,3,0
2020-03-11,Anaheim,0,2,0
2020-03-12,Anaheim,0,6,0
2020-03-13,Anaheim,0,8,0
2020-03-14,Anaheim,1,11,0
2020-03-15,Anaheim,1,15,0
2020-03-16,Anaheim,2,16,0
2020-03-17,Anaheim,8,34,0
2020-03-18,Anaheim,2,21,0
2020-03-19,Anaheim,3,17,0
2020-03-20,Anaheim,2,23,0
2020-03-21,Anaheim,0,6,0
2020-03-22,Anaheim,4,13,0
2020-03-23,Anaheim,3,30,0
2020-03-24,Anaheim,5,39,0
2020-03-25,Anaheim,7,30,0
2020-03-26,Anaheim,7,31,0
2020-03-27,Anaheim,2,32,0
2020-03-28,Anaheim,11,26,0
2020-03-29,Anaheim,3,13,0
2020-03-30,Anaheim,7,47,1
2020-03-31,Anaheim,7,53,1
2020-04-01,Anaheim,4,47,0
2020-04-02,Anaheim,5,59,1
2020-04-03,Anaheim,7,63,0
2020-04-04,Anaheim,5,29,0
2020-04-05,Anaheim,2,17,0
2020-04-06,Anaheim,6,70,0
2020-04-07,Anaheim,8,74,0
2020-04-08,Anaheim,9,55,0
2020-04-09,Anaheim,9,51,0
2020-04-10,Anaheim,4,54,1
2020-04-11,Anaheim,5,26,0
2020-04-12,Anaheim,1,13,0
2020-04-13,Anaheim,4,63,0
2020-04-14,Anaheim,12,65,0
2020-04-15,Anaheim,24,106,1
2020-04-16,Anaheim,13,75,0
2020-04-17,Anaheim,12,77,1
2020-04-18,Anaheim,12,58,0
2020-04-19,Anaheim,1,24,0
2020-04-20,Anaheim,13,180,0
2020-04-21,Anaheim,7,96,0
2020-04-22,Anaheim,18,134,1
2020-04-23,Anaheim,11,127,1
2020-04-24,Anaheim,9,113,0
2020-04-25,Anaheim,16,119,0
2020-04-26,Anaheim,12,67,0
2020-04-27,Anaheim,23,169,1
2020-04-28,Anaheim,20,214,1
2020-04-29,Anaheim,33,290,0
2020-04-30,Anaheim,8,132,1
2020-05-01,Anaheim,12,140,0
2020-05-02,Anaheim,8,100,2
2020-05-03,Anaheim,13,69,0
2020-05-04,Anaheim,21,189,0
2020-05-05,Anaheim,18,186,0
2020-05-06,Anaheim,61,329,1
2020-05-07,Anaheim,18,211,3
2020-05-08,Anaheim,25,200,1
2020-05-09,Anaheim,8,62,0
2020-05-10,Anaheim,6,80,1
2020-05-11,Anaheim,34,358,3
2020-05-12,Anaheim,22,202,0
2020-05-13,Anaheim,22,224,0
2020-05-14,Anaheim,24,222,3
2020-05-15,Anaheim,29,247,0
2020-05-16,Anaheim,5,98,0
2020-05-17,Anaheim,9,76,4
2020-05-18,Anaheim,56,310,2
2020-05-19,Anaheim,30,298,0
2020-05-20,Anaheim,40,418,3
2020-05-21,Anaheim,47,399,1
2020-05-22,Anaheim,31,344,1
2020-05-23,Anaheim,26,149,2
2020-05-24,Anaheim,15,99,1
2020-05-25,Anaheim,13,112,2
2020-05-26,Anaheim,61,456,2
2020-05-27,Anaheim,38,448,1
2020-05-28,Anaheim,41,443,3
2020-05-29,Anaheim,35,419,1
2020-05-30,Anaheim,30,224,2
2020-05-31,Anaheim,27,152,0
2020-06-01,Anaheim,33,311,4
2020-06-02,Anaheim,32,459,2
2020-06-03,Anaheim,51,497,1
2020-06-04,Anaheim,46,434,1
2020-06-05,Anaheim,52,495,0
2020-06-06,Anaheim,37,308,1
2020-06-07,Anaheim,22,184,3
2020-06-08,Anaheim,53,410,5
2020-06-09,Anaheim,43,581,6
2020-06-10,Anaheim,67,530,3
2020-06-11,Anaheim,73,591,1
2020-06-12,Anaheim,68,553,1
2020-06-13,Anaheim,47,342,1
2020-06-14,Anaheim,30,168,1
2020-06-15,Anaheim,68,478,3
2020-06-16,Anaheim,81,589,1
2020-06-17,Anaheim,94,589,0
2020-06-18,Anaheim,122,683,4
2020-06-19,Anaheim,128,750,2
2020-06-20,Anaheim,81,434,0
2020-06-21,Anaheim,46,200,1
2020-06-22,Anaheim,137,725,2
2020-06-23,Anaheim,163,807,3
2020-06-24,Anaheim,160,839,4
2020-06-25,Anaheim,146,846,1
2020-06-26,Anaheim,143,764,1
2020-06-27,Anaheim,93,492,2
2020-06-28,Anaheim,67,290,2
2020-06-29,Anaheim,160,834,1
2020-06-30,Anaheim,179,854,4
2020-07-01,Anaheim,160,868,0
2020-07-02,Anaheim,139,898,3
2020-07-03,Anaheim,104,609,3
2020-07-04,Anaheim,53,191,5
2020-07-05,Anaheim,72,270,5
2020-07-06,Anaheim,160,848,1
2020-07-07,Anaheim,163,889,4
2020-07-08,Anaheim,129,833,3
2020-07-09,Anaheim,135,836,3
2020-07-10,Anaheim,140,932,4
2020-07-11,Anaheim,88,489,7
2020-07-12,Anaheim,63,303,1
2020-07-13,Anaheim,126,821,1
2020-07-14,Anaheim,124,844,0
2020-07-15,Anaheim,137,1015,5
2020-07-16,Anaheim,146,950,3
2020-07-17,Anaheim,135,992,4
2020-07-18,Anaheim,59,560,3
2020-07-19,Anaheim,60,373,1
2020-07-20,Anaheim,77,640,1
2020-07-21,Anaheim,90,765,4
2020-07-22,Anaheim,93,722,4
2020-07-23,Anaheim,72,633,2
2020-07-24,Anaheim,98,746,2
2020-07-25,Anaheim,51,443,2
2020-07-26,Anaheim,39,308,1
2020-07-27,Anaheim,108,923,4
2020-07-28,Anaheim,81,802,3
2020-07-29,Anaheim,89,1009,0
2020-07-30,Anaheim,72,760,8
2020-07-31,Anaheim,111,857,3
2020-08-01,Anaheim,37,497,4
2020-08-02,Anaheim,33,355,4
2020-08-03,Anaheim,57,705,4
2020-08-04,Anaheim,69,891,2
2020-08-05,Anaheim,54,681,2
2020-08-06,Anaheim,47,577,1
2020-08-07,Anaheim,69,779,3
2020-08-08,Anaheim,29,321,2
2020-08-09,Anaheim,16,189,4
2020-08-10,Anaheim,37,574,4
2020-08-11,Anaheim,47,810,1
2020-08-12,Anaheim,35,655,0
2020-08-13,Anaheim,61,521,2
2020-08-14,Anaheim,71,665,1
2020-08-15,Anaheim,24,342,1
2020-08-16,Anaheim,9,187,5
2020-08-17,Anaheim,58,656,3
2020-08-18,Anaheim,53,712,2
2020-08-19,Anaheim,61,680,1
2020-08-20,Anaheim,52,555,1
2020-08-21,Anaheim,82,654,1
2020-08-22,Anaheim,35,346,1
2020-08-23,Anaheim,13,163,1
2020-08-24,Anaheim,45,667,1
2020-08-25,Anaheim,54,842,3
2020-08-26,Anaheim,36,585,2
2020-08-27,Anaheim,45,467,1
2020-08-28,Anaheim,36,630,2
2020-08-29,Anaheim,27,277,0
2020-08-30,Anaheim,15,184,0
2020-08-31,Anaheim,43,569,1
2020-09-01,Anaheim,31,710,3
2020-09-02,Anaheim,32,678,1
2020-09-03,Anaheim,37,590,0
2020-09-04,Anaheim,39,597,1
2020-09-05,Anaheim,22,292,4
2020-09-06,Anaheim,7,183,0
2020-09-07,Anaheim,13,178,0
2020-09-08,Anaheim,22,715,1
2020-09-09,Anaheim,24,671,1
2020-09-10,Anaheim,27,576,1
2020-09-11,Anaheim,36,645,1
2020-09-12,Anaheim,15,349,4
2020-09-13,Anaheim,8,145,3
2020-09-14,Anaheim,17,503,0
2020-09-15,Anaheim,27,799,2
2020-09-16,Anaheim,29,699,3
2020-09-17,Anaheim,26,579,0
2020-09-18,Anaheim,41,631,2
2020-09-19,Anaheim,19,315,1
2020-09-20,Anaheim,11,215,3
2020-09-21,Anaheim,33,651,2
2020-09-22,Anaheim,45,992,2
2020-09-23,Anaheim,31,832,0
2020-09-24,Anaheim,46,646,0
2020-09-25,Anaheim,48,611,3
2020-09-26,Anaheim,23,338,1
2020-09-27,Anaheim,15,224,0
2020-09-28,Anaheim,29,672,1
2020-09-29,Anaheim,44,889,1
2020-09-30,Anaheim,27,755,2
2020-10-01,Anaheim,37,638,2
2020-10-02,Anaheim,39,732,2
2020-10-03,Anaheim,16,378,1
2020-10-04,Anaheim,18,246,3
2020-10-05,Anaheim,36,851,2
2020-10-06,Anaheim,45,1195,0
2020-10-07,Anaheim,38,952,1
2020-10-08,Anaheim,32,794,0
2020-10-09,Anaheim,37,887,0
2020-10-10,Anaheim,22,438,1
2020-10-11,Anaheim,11,253,0
2020-10-12,Anaheim,42,868,2
2020-10-13,Anaheim,53,1082,0
2020-10-14,Anaheim,32,968,0
2020-10-15,Anaheim,39,893,0
2020-10-16,Anaheim,38,840,0
2020-10-17,Anaheim,17,348,1
2020-10-18,Anaheim,14,290,0
2020-10-19,Anaheim,44,968,1
2020-10-20,Anaheim,45,1118,0
2020-10-21,Anaheim,40,923,0
2020-10-22,Anaheim,39,801,1
2020-10-23,Anaheim,45,875,1
2020-10-24,Anaheim,21,361,2
2020-10-25,Anaheim,18,266,1
2020-10-26,Anaheim,40,1037,0
2020-10-27,Anaheim,44,1033,1
2020-10-28,Anaheim,44,1005,1
2020-10-29,Anaheim,45,947,0
2020-10-30,Anaheim,42,932,1
2020-10-31,Anaheim,26,420,0
2020-11-01,Anaheim,20,296,0
2020-11-02,Anaheim,64,1183,2
2020-11-03,Anaheim,79,1337,0
2020-11-04,Anaheim,93,1130,2
2020-11-05,Anaheim,91,1058,2
2020-11-06,Anaheim,84,1049,1
2020-11-07,Anaheim,35,437,0
2020-11-08,Anaheim,28,350,0
2020-11-09,Anaheim,102,1441,0
2020-11-10,Anaheim,87,1394,1
2020-11-11,Anaheim,54,885,1
2020-11-12,Anaheim,104,1223,2
2020-11-13,Anaheim,117,1297,0
2020-11-14,Anaheim,80,706,1
2020-11-15,Anaheim,60,460,0
2020-11-16,Anaheim,184,1595,1
2020-11-17,Anaheim,170,1766,0
2020-11-18,Anaheim,158,1714,0
2020-11-19,Anaheim,152,1553,0
2020-11-20,Anaheim,217,1858,0
2020-11-21,Anaheim,124,959,0
2020-11-22,Anaheim,71,555,0
2020-11-23,Anaheim,212,1967,0
2020-11-24,Anaheim,193,1867,0
2020-11-25,Anaheim,202,1358,0
2020-11-26,Anaheim,38,243,0
2020-11-27,Anaheim,17,351,0
2020-11-28,Anaheim,6,280,0
2020-11-29,Anaheim,1,43,0
2020-03-12,Brea,0,3,0
2020-03-13,Brea,0,2,0
2020-03-14,Brea,0,1,0
2020-03-15,Brea,1,3,0
2020-03-16,Brea,0,4,0
2020-03-17,Brea,0,3,0
2020-03-18,Brea,0,5,0
2020-03-19,Brea,0,2,0
2020-03-20,Brea,0,5,0
2020-03-22,Brea,0,3,0
2020-03-23,Brea,0,7,0
2020-03-24,Brea,1,5,0
2020-03-25,Brea,0,4,0
2020-03-26,Brea,1,6,0
2020-03-27,Brea,0,2,0
2020-03-28,Brea,1,5,0
2020-03-29,Brea,1,3,0
2020-03-30,Brea,0,5,0
2020-03-31,Brea,0,3,0
2020-04-01,Brea,0,7,0
2020-04-02,Brea,0,8,0
2020-04-03,Brea,0,7,0
2020-04-04,Brea,0,5,0
2020-04-05,Brea,0,1,0
2020-04-06,Brea,3,12,0
2020-04-07,Brea,0,7,0
2020-04-08,Brea,2,6,0
2020-04-09,Brea,0,6,0
2020-04-10,Brea,0,11,0
2020-04-11,Brea,0,8,0
2020-04-13,Brea,3,11,1
2020-04-14,Brea,0,4,0
2020-04-15,Brea,0,3,0
2020-04-16,Brea,0,8,0
2020-04-17,Brea,1,14,0
2020-04-18,Brea,0,5,0
2020-04-19,Brea,0,3,0
2020-04-20,Brea,1,10,0
2020-04-21,Brea,0,12,0
2020-04-22,Brea,0,7,0
2020-04-23,Brea,0,10,0
2020-04-24,Brea,0,18,0
2020-04-25,Brea,0,11,0
2020-04-26,Brea,0,10,0
2020-04-27,Brea,0,19,0
2020-04-28,Brea,0,19,0
2020-04-29,Brea,0,19,0
2020-04-30,Brea,0,13,0
2020-05-01,Brea,1,20,0
2020-05-02,Brea,0,6,0
2020-05-03,Brea,2,9,0
2020-05-04,Brea,2,25,0
2020-05-05,Brea,0,27,0
2020-05-06,Brea,1,21,0
2020-05-07,Brea,0,22,0
2020-05-08,Brea,0,30,0
2020-05-09,Brea,0,13,0
2020-05-10,Brea,1,3,0
2020-05-11,Brea,0,29,0
2020-05-12,Brea,1,42,0
2020-05-13,Brea,2,40,0
2020-05-14,Brea,0,39,0
2020-05-15,Brea,1,28,0
2020-05-16,Brea,4,34,0
2020-05-17,Brea,0,9,0
2020-05-18,Brea,1,29,0
2020-05-19,Brea,2,38,0
2020-05-20,Brea,0,42,0
2020-05-21,Brea,0,43,0
2020-05-22,Brea,0,30,0
2020-05-23,Brea,0,17,0
2020-05-24,Brea,0,20,0
2020-05-25,Brea,0,8,0
2020-05-26,Brea,0,38,0
2020-05-27,Brea,3,60,0
2020-05-28,Brea,1,43,0
2020-05-29,Brea,2,66,0
2020-05-30,Brea,2,45,0
2020-05-31,Brea,2,20,0
2020-06-01,Brea,0,35,0
2020-06-02,Brea,3,48,0
2020-06-03,Brea,0,63,0
2020-06-04,Brea,1,50,0
2020-06-05,Brea,3,59,0
2020-06-06,Brea,0,29,0
2020-06-07,Brea,0,12,0
2020-06-08,Brea,0,53,0
2020-06-09,Brea,4,57,0
2020-06-10,Brea,1,49,0
2020-06-11,Brea,4,59,0
2020-06-12,Brea,2,57,0
2020-06-13,Brea,0,36,0
2020-06-14,Brea,2,19,0
2020-06-15,Brea,6,61,0
2020-06-16,Brea,2,60,0
2020-06-17,Brea,3,65,0
2020-06-18,Brea,6,63,0
2020-06-19,Brea,3,62,0
2020-06-20,Brea,4,45,0
2020-06-21,Brea,2,24,0
2020-06-22,Brea,7,87,0
2020-06-23,Brea,9,63,1
2020-06-24,Brea,14,107,0
2020-06-25,Brea,13,86,0
2020-06-26,Brea,10,94,0
2020-06-27,Brea,7,43,0
2020-06-28,Brea,6,26,0
2020-06-29,Brea,8,71,0
2020-06-30,Brea,13,89,0
2020-07-01,Brea,8,95,0
2020-07-02,Brea,6,84,0
2020-07-03,Brea,11,72,0
2020-07-04,Brea,2,19,0
2020-07-05,Brea,4,31,0
2020-07-06,Brea,9,93,1
2020-07-07,Brea,9,97,0
2020-07-08,Brea,12,90,0
2020-07-09,Brea,10,86,0
2020-07-10,Brea,10,117,0
2020-07-11,Brea,2,29,0
2020-07-12,Brea,3,34,0
2020-07-13,Brea,13,91,0
2020-07-14,Brea,11,98,0
2020-07-15,Brea,10,74,0
2020-07-16,Brea,9,87,0
2020-07-17,Brea,12,108,1
2020-07-18,Brea,7,51,0
2020-07-19,Brea,1,35,0
2020-07-20,Brea,4,90,0
2020-07-21,Brea,11,80,0
2020-07-22,Brea,0,66,0
2020-07-23,Brea,6,63,0
2020-07-24,Brea,1,74,1
2020-07-25,Brea,3,44,0
2020-07-26,Brea,4,29,0
2020-07-27,Brea,2,105,0
2020-07-28,Brea,4,85,0
2020-07-29,Brea,5,85,0
2020-07-30,Brea,1,73,0
2020-07-31,Brea,5,72,0
2020-08-01,Brea,4,49,1
2020-08-02,Brea,2,36,0
2020-08-03,Brea,1,89,1
2020-08-04,Brea,5,86,0
2020-08-05,Brea,3,80,0
2020-08-06,Brea,1,50,0
2020-08-07,Brea,1,95,0
2020-08-08,Brea,3,30,0
2020-08-09,Brea,2,29,0
2020-08-10,Brea,2,70,0
2020-08-11,Brea,2,74,0
2020-08-12,Brea,4,74,0
2020-08-13,Brea,5,76,0
2020-08-14,Brea,3,61,0
2020-08-15,Brea,0,35,0
2020-08-16,Brea,2,27,0
2020-08-17,Brea,3,60,0
2020-08-18,Brea,2,76,0
2020-08-19,Brea,4,71,0
2020-08-20,Brea,2,51,0
2020-08-21,Brea,2,51,0
2020-08-22,Brea,4,41,0
2020-08-23,Brea,1,31,0
2020-08-24,Brea,1,74,0
